trade_date,ts_code,close,open,high,low,pre_close,change,pct_chg,vol,amount
2016-05-19,399300.SZ,3062.5,3060.342,3086.977,3058.145,3068.035,-5.535,-0.1804,60444166.0,68679060.3921
2016-05-20,399300.SZ,3078.218,3047.777,3078.531,3041.516,3062.5,15.718,0.5132,56080842.0,65124251.0921
2016-05-23,399300.SZ,3087.222,3078.515,3098.478,3076.503,3078.218,9.004,0.2925,59697216.0,70337514.4835
2016-05-24,399300.SZ,3063.5556,3083.2441,3083.2571,3052.5905,3087.2225,-23.6669,-0.7666,58734385.0,61106015.4464
2016-05-25,399300.SZ,3059.2259,3079.7486,3089.1022,3054.8697,3063.5556,-4.3297,-0.1413,56652803.0,63316562.53
2016-05-26,399300.SZ,3064.211,3056.6,3072.524,3027.444,3059.225,4.986,0.163,60392981.0,65985183.9189
2016-05-27,399300.SZ,3062.499,3059.732,3073.756,3052.179,3064.211,-1.712,-0.0559,60468750.0,59371777.0794
2016-05-30,399300.SZ,3066.709,3056.313,3075.261,3037.664,3062.499,4.21,0.1375,63098579.0,63496565.009
2016-05-31,399300.SZ,3169.559,3068.596,3170.926,3068.596,3066.709,102.85,3.3538,138863111.0,151398175.9566
2016-06-01,399300.SZ,3160.547,3172.961,3181.792,3159.817,3169.559,-9.012,-0.2843,113148482.0,131700821.1521
2016-06-02,399300.SZ,3167.099,3158.025,3168.824,3151.065,3160.547,6.552,0.2073,86003427.0,97093625.3449
2016-06-03,399300.SZ,3189.325,3172.946,3201.749,3162.088,3167.099,22.226,0.7018,101491783.0,136332027.0872
2016-06-06,399300.SZ,3178.788,3192.779,3197.22,3168.554,3189.325,-10.537,-0.3304,76693751.0,101176231.3664
2016-06-07,399300.SZ,3177.053,3182.437,3186.616,3168.179,3178.788,-1.735,-0.0546,68928314.0,88711618.4254
2016-06-08,399300.SZ,3163.986,3171.813,3174.971,3148.351,3177.053,-13.067,-0.4113,76291775.0,97682790.8611
2016-06-13,399300.SZ,3066.341,3134.045,3145.605,3065.767,3163.986,-97.645,-3.0861,92975947.0,114091320.0037
2016-06-14,399300.SZ,3075.983,3058.443,3078.749,3055.655,3066.341,9.642,0.3144,66279457.0,78622305.3495
2016-06-15,399300.SZ,3116.368,3043.957,3128.673,3042.232,3075.983,40.385,1.3129,87393257.0,106170177.8724
2016-06-16,399300.SZ,3094.674,3104.361,3112.475,3089.477,3116.368,-21.694,-0.6961,82974703.0,93496238.8705
2016-06-17,399300.SZ,3110.357,3096.09,3131.048,3096.09,3094.674,15.683,0.5068,85402985.0,97953389.32
2016-06-20,399300.SZ,3112.674,3114.906,3118.725,3089.712,3110.357,2.317,0.0745,63587141.0,74647802.4617
2016-06-21,399300.SZ,3106.317,3124.898,3155.492,3097.94,3112.674,-6.357,-0.2042,87965345.0,107233643.6316
2016-06-22,399300.SZ,3133.961,3100.449,3134.06,3096.991,3106.317,27.644,0.8899,66487113.0,81348715.8476
2016-06-23,399300.SZ,3117.316,3129.72,3129.72,3102.481,3133.961,-16.645,-0.5311,67751738.0,81732552.1588
2016-06-24,399300.SZ,3077.155,3110.646,3130.539,3033.965,3117.316,-40.161,-1.2883,104792208.0,118967441.7019
2016-06-27,399300.SZ,3120.544,3065.128,3120.64,3064.966,3077.155,43.389,1.41,83267259.0,104066083.7905
2016-06-28,399300.SZ,3136.401,3107.397,3139.43,3099.701,3120.544,15.857,0.5081,92024637.0,117197791.5039
2016-06-29,399300.SZ,3151.389,3142.484,3158.076,3139.132,3136.401,14.988,0.4779,103723668.0,117958861.1889
2016-06-30,399300.SZ,3153.921,3152.833,3163.72,3148.198,3151.389,2.532,0.0803,79692617.0,100627912.9248
2016-07-01,399300.SZ,3154.2,3156.932,3170.258,3148.294,3153.921,0.279,0.0088,71746283.0,91215027.6883
2016-07-04,399300.SZ,3204.696,3136.385,3210.601,3134.023,3154.2,50.496,1.6009,133310529.0,149894780.0373
2016-07-05,399300.SZ,3207.382,3199.157,3216.702,3197.995,3204.696,2.686,0.0838,130226895.0,143899100.4277
2016-07-06,399300.SZ,3216.803,3197.624,3217.515,3183.451,3207.382,9.421,0.2937,124897458.0,147232471.496
2016-07-07,399300.SZ,3209.954,3206.55,3220.54,3190.123,3216.803,-6.849,-0.2129,118595202.0,140488833.675
2016-07-08,399300.SZ,3192.28,3199.754,3204.928,3183.959,3209.954,-17.674,-0.5506,89734855.0,111063465.4167
2016-07-11,399300.SZ,3203.329,3199.038,3235.962,3197.625,3192.28,11.049,0.3461,138529511.0,155288151.673
2016-07-12,399300.SZ,3273.182,3201.906,3273.473,3200.303,3203.329,69.853,2.1806,172534217.0,190853738.897
2016-07-13,399300.SZ,3282.868,3274.02,3300.991,3271.775,3273.182,9.686,0.2959,175196090.0,196592300.3224
2016-07-14,399300.SZ,3276.763,3277.481,3281.95,3259.065,3282.868,-6.105,-0.186,107525798.0,128090420.9166
2016-07-15,399300.SZ,3276.277,3278.835,3285.026,3265.29,3276.763,-0.486,-0.0148,102665026.0,125179812.9291
2016-07-18,399300.SZ,3262.022,3269.707,3281.637,3251.765,3276.277,-14.255,-0.4351,110312518.0,129785706.1988
2016-07-19,399300.SZ,3248.234,3260.434,3264.73,3226.198,3262.022,-13.788,-0.4227,88886861.0,107108911.1718
